"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
206,"nous sommes entre 2 et 5 personnes","doctorant / doctorante (y compris CIFRE)","contrat doctoral",,"2019","Windows","rarement","rarement","souvent","jamais","jamais","jamais","parfois","jamais","toujours","souvent","parfois","jamais","jamais","jamais","parfois","jamais","toujours","souvent","parfois","souvent","jamais","jamais","parfois","souvent","rarement","jamais","jamais","souvent","rarement","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","jamais","jamais","jamais","jamais","jamais","Je ne sais pas","jamais","non",,,"non","souvent","jamais","jamais","jamais","toujours","jamais","jamais","jamais","Superlab
Excel
R","des logiciels payants;des logiciels libres et gratuits","toujours","R","toujours","R","jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","jamais","R
Inkscape","souvent","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);transparence du processus d'évaluation;diffusion en accès libre (imposé par mon institution, financeur)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","oui","non","Oui","Oui, intégrer plus de partage de données et d'articles","une femme","Sciences humaines","moins de 25 ans"
207,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2009","Windows;MacOS","jamais","rarement","parfois","jamais","rarement","jamais","rarement","rarement","toujours","souvent","parfois","jamais","parfois","jamais","souvent","souvent","toujours","souvent","souvent","souvent","jamais","jamais","parfois","parfois","rarement","jamais","jamais","souvent","souvent","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","toujours","parfois","souvent","souvent","jamais","jamais","pas compris, une vingtaine de variables par participant à l'étude","rarement","oui",,,"non","jamais","souvent","parfois","toujours","toujours","toujours","jamais","jamais","dataviewer, eprime","des logiciels payants;des logiciels libres et gratuits","jamais",,"toujours","logiciels statistiques (r, spss, jasp)","souvent","outils statistiques","jamais","toujours","rarement","jamais","jamais","jamais","jamais","toujours","parfois","jamais",,"souvent","toujours","rarement","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;refus des revues prédatrices","jamais","jamais","jamais","rarement","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","jamais","jamais","parfois","toujours","jamais","jamais","toujours","jamais","jamais","jamais","jamais","rarement","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","oui","oui","oui",,,"une femme","Sciences humaines","41 à 45 ans"
208,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2000","Windows","parfois","souvent","souvent","jamais","parfois","jamais","toujours","souvent","toujours","toujours","souvent","jamais","parfois","jamais","toujours","souvent","toujours","toujours","parfois","souvent","jamais","jamais","souvent","souvent","parfois","souvent","jamais","souvent","souvent","par des collègues, des amis;par une veille sur ces questions;en cherchant par moi-même","toujours","souvent","jamais","jamais","jamais","souvent","je ne comprends pas votre question","rarement","non",,,"non","souvent","souvent","rarement","souvent","souvent","toujours","toujours","souvent","E-prime, open sesam, powerpoint","des logiciels libres et gratuits;des logiciels payants;des logiciels payants ""crackés""","jamais",,"toujours","R, statistica,","toujours","excel","jamais","toujours","souvent","jamais","jamais","jamais","jamais","toujours","souvent","jamais","excel","souvent","toujours","jamais","rarement","jamais","parfois","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation;critères HCERES, FNGE, CNRS, CNU…","jamais","parfois","jamais","jamais","toujours","parfois","jamais","jamais","non","non","non","non","non","non","non","non","oui","souvent","jamais","souvent","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","parfois","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","non","oui","oui","oui","sans doute, en tenant compte de certaines informations présentes dans votre questionnaire et dont je n'avais pas connaissance auparavant par exemple","un homme","Sciences humaines","46 à 50 ans"
209,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1985","Windows","jamais","jamais","souvent","jamais","toujours","jamais","toujours","souvent","rarement","souvent","souvent","souvent","toujours","jamais","toujours","souvent","rarement","jamais","toujours","parfois","jamais","jamais","souvent","jamais","parfois","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise","rarement","toujours","parfois","jamais","jamais","jamais","inconnue","souvent","oui","?",,"non","parfois","parfois","toujours","souvent","toujours","toujours","jamais","souvent","Office, Oméka","des logiciels payants;des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","rarement","parfois","jamais","excell","souvent","souvent","souvent","souvent","rarement","jamais","souvent","souvent","jamais","jamais","jamais","refus des revues prédatrices;critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (choix personnel)","jamais","parfois","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","oui","non","non","non","non","non","souvent","jamais","souvent","parfois","jamais","souvent","jamais","jamais","jamais","jamais","jamais","parfois","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","bien entendu","tendance à rejoindre plus systématiquement l'accès ouvert","une femme","Lettres et Arts","61 à 65 ans"
210,"nous sommes entre 2 et 5 personnes","ingénieur / ingénieure de recherche","en CDD",,"2016","Windows;MacOS","parfois","souvent","souvent","jamais","parfois","jamais","toujours","souvent","toujours","souvent","souvent","jamais","rarement","parfois","toujours","toujours","toujours","parfois","souvent","toujours","jamais","jamais","rarement","rarement","rarement","rarement","souvent","souvent","jamais","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","souvent","souvent","jamais","souvent","plusieurs giga (les vidéos notamment prennent beaucoup de place)","rarement","oui","au laboratoire ou à mon responsable de recherche","mon laboratoire/équipe de recherche","non","rarement","jamais","jamais","toujours","toujours","toujours","toujours","rarement","R studio
pack office
ELAN","des logiciels payants;des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels gratuits avec des fonctionnalités premium;des logiciels internes à mon organisation","parfois","Excel","toujours","R studio
Excel","toujours","R studio
Excel
PowerPoint","souvent","toujours","souvent","souvent","jamais","jamais","jamais","toujours","souvent","jamais","excel
R studio","souvent","parfois","parfois","parfois","rarement","parfois","jamais","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);transparence du processus d'évaluation;critères HCERES, FNGE, CNRS, CNU…","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","oui","oui","oui","non","oui","jamais","jamais","jamais","parfois","jamais","rarement","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","oui","Oui. Je traite les données récoltées selon mon approche et mon point de vue. Une diffusion et un partage peuvent permettre à d'autres personnes d'analyser les données sous un angle différent et/ou complémentaire.",,"une femme","Médecine","25 à 30 ans"
211,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2012","Windows","souvent","parfois","rarement","jamais","jamais","jamais","rarement","rarement","jamais","souvent","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","toujours","toujours","jamais","jamais","rarement","souvent","rarement","jamais","jamais","jamais","rarement","par des collègues, des amis;par mon institution, mon entreprise","toujours","parfois","jamais","jamais","jamais","jamais","20 à 30 entretiens, entre 500 et 15000 observations","parfois","oui","Moi même sur clé USB","clef USB","non","jamais","jamais","jamais","toujours","jamais","toujours","parfois","rarement","Lime survey pour enquête en ligne, sinon questionnaires papiers et entretiens oraux (en présence ou via Teams)","des logiciels libres et gratuits","jamais",,"toujours","SPSS
LISREL
STATA","souvent","SPSS","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","Word ou impression écran pour copier coller","souvent","souvent","rarement","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","rarement","jamais","oui, parfaitement","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","non","non","non","oui","non","Non","OUI je vais utiliser davantage d'outils numériques pour enseigner et me former à d'autres logiciels pour mes activités de recherche (pour analyser mes données)","un homme","Sciences sociales","31 à 35 ans"
212,"je travaille seul","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","en CDD",,"2017","Windows","parfois","rarement","parfois","jamais","rarement","jamais","toujours","parfois","toujours","toujours","parfois","jamais","rarement","jamais","toujours","parfois","toujours","souvent","parfois","parfois","jamais","jamais","rarement","toujours","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise;au cours d'une formation;en cherchant par moi-même","souvent","toujours","parfois","parfois","parfois","jamais","Beaucoup","parfois","non",,,"non","toujours","jamais","jamais","toujours","toujours","toujours","jamais","rarement","Prism, Fiji, Zen","des logiciels libres et gratuits;des logiciels payants;des logiciels payants ""crackés"";des logiciels internes à mon organisation","jamais",,"souvent","Excel, Fiji, prims","jamais",,"parfois","toujours","jamais","jamais","jamais","jamais","jamais","toujours","souvent","jamais","Power point, Adobe","souvent","toujours","rarement","rarement","parfois","jamais","jamais","jamais","parfois","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…;frais de publications (Article Processing Charges)","rarement","jamais","jamais","parfois","jamais","jamais","parfois","jamais","non","non","non","non","non","non","non","non","oui","rarement","rarement","rarement","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","sans avis","un homme","Sciences du vivant","25 à 30 ans"
213,"nous sommes entre 2 et 5 personnes","ingénieur / ingénieure de recherche","en CDI",,"2019","Windows;Linux","rarement","rarement","souvent","jamais","jamais","souvent","souvent","souvent","souvent","souvent","souvent","jamais","jamais","souvent","souvent","souvent","souvent","jamais","souvent","souvent","jamais","jamais","jamais","souvent","jamais","jamais","jamais","rarement","rarement","par des collègues, des amis;en cherchant par moi-même","souvent","souvent","rarement","jamais","jamais","jamais","~500Gb/projet","parfois","non",,,"non","toujours","souvent","jamais","parfois","toujours","souvent","jamais","parfois","logiciels d'alignement de séquences (exemple: bowtie2)
logiciels de comptage de chevauchement de séquence (htseq)
logiciels de détection d'intéractions chromosomiques (HiC-pro)
logiciels de biostatistiques (R) 
logiciel de version de script(gitlab)","des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires;des logiciels internes à mon organisation;des logiciels issus d'un projet de recherche;des logiciels créés à cette fin (seul ou avec des collègues)","jamais",,"toujours","même outils citez plus haut qui servent à produire et analyser des données.","toujours","packages des langages R et python","toujours","toujours","souvent","rarement","rarement","jamais","parfois","souvent","parfois","parfois",,"parfois","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);transparence du processus d'évaluation;diffusion en accès libre (choix personnel)","souvent","jamais","jamais","parfois","jamais","parfois","jamais","jamais","non","non","non","non","oui","non","non","non","oui","souvent","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);journaux open peer review / évaluation ouverte (post-publication) (Winnower...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","non","non","non","non","oui","L'utilisation du numérique va évoluer dans le but de collaborations plus productives","une femme","Mathématiques, Informatiques","25 à 30 ans"
214,"nous sommes entre 2 et 5 personnes","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","en CDI",,"1994","Windows;MacOS;autres OS (Android...)","toujours","jamais","toujours","jamais","jamais","jamais","parfois","jamais","rarement","toujours","toujours","jamais","jamais","jamais","souvent","jamais","jamais","toujours","souvent","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","souvent","jamais","par des collègues, des amis;par mon institution, mon entreprise","souvent","souvent","souvent","parfois","jamais","jamais","en millions","parfois","oui","archivage interne","Institution","non","rarement","jamais","jamais","toujours","toujours","toujours","jamais","rarement","excel
xl-stat
powerpoint","des logiciels payants","jamais",,"souvent","excel
xl-stat","toujours","excel powerpoint","souvent","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","powerpoint","toujours","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation","jamais","jamais","jamais","parfois","parfois","rarement","toujours","jamais","oui","oui","oui","non","oui","oui","oui","non","oui","souvent","parfois","parfois","toujours","jamais","parfois","parfois","jamais","jamais","jamais","jamais","toujours","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","tout à fait compatible et complémentaire",,"un homme","Sciences du vivant","51 à 55 ans"
215,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","en CDI",,"2008","Linux","parfois","parfois","souvent","jamais","parfois","jamais","parfois","parfois","jamais","souvent","souvent","jamais","parfois","jamais","parfois","parfois","jamais","souvent","souvent","souvent","jamais","jamais","jamais","souvent","parfois","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","rarement","rarement","rarement","rarement","plusieurs gigas","souvent","oui","Des disques durs externes dans des résidences différetnes.","DD externe","non","jamais","jamais","jamais","souvent","souvent","souvent","jamais","parfois","Des logiciels conçus par mes collègues et moi-même","des logiciels créés à cette fin (seul ou avec des collègues);des logiciels libres et gratuits;des logiciels issus d'un projet de recherche","jamais",,"parfois","Des logiciels d'analyses ""maison"".","parfois","tout dépend des données...","jamais","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","latex, R, python, gimp, ...","souvent","souvent","parfois","parfois","jamais","jamais","jamais","rarement","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","parfois","jamais","rarement","parfois","parfois","jamais","jamais","jamais","non","non","non","non","oui","non","non","non","oui","parfois","jamais","jamais","souvent","jamais","parfois","parfois","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Oui.","Oui. De manière contrainte.","une femme","Mathématiques, Informatiques","36 à 40 ans"
